PLAIN-1 Q0 MED-2421 100 3 STANDARD
PLAIN-1 Q0 MED-2422 100 3 STANDARD
PLAIN-1 Q0 MED-2416 100 3 STANDARD
PLAIN-1 Q0 MED-2423 100 3 STANDARD
PLAIN-1 Q0 MED-2417 100 3 STANDARD
PLAIN-1 Q0 MED-2418 100 3 STANDARD
PLAIN-1 Q0 MED-4451 100 3 STANDARD
PLAIN-1 Q0 MED-2420 100 3 STANDARD
PLAIN-1 Q0 MED-2414 100 3 STANDARD
PLAIN-1 Q0 MED-4070 100 3 STANDARD
PLAIN-1 Q0 MED-3498 100 3 STANDARD
PLAIN-1 Q0 MED-2424 100 3 STANDARD
PLAIN-1 Q0 MED-2426 100 3 STANDARD
PLAIN-1 Q0 MED-2674 100 3 STANDARD
PLAIN-1 Q0 MED-2675 100 3 STANDARD
PLAIN-1 Q0 MED-2676 100 3 STANDARD
PLAIN-1 Q0 MED-2677 100 3 STANDARD
PLAIN-1 Q0 MED-2678 100 3 STANDARD
PLAIN-1 Q0 MED-2679 100 3 STANDARD
PLAIN-1 Q0 MED-4037 100 3 STANDARD
PLAIN-1 Q0 MED-4038 100 3 STANDARD
PLAIN-1 Q0 MED-4976 100 3 STANDARD
PLAIN-1 Q0 MED-4450 100 3 STANDARD
PLAIN-1 Q0 MED-5085 100 3 STANDARD
PLAIN-1 Q0 MED-5086 100 3 STANDARD
PLAIN-1 Q0 MED-5087 100 3 STANDARD
PLAIN-1 Q0 MED-5088 100 3 STANDARD
PLAIN-1 Q0 MED-5089 100 3 STANDARD
PLAIN-1 Q0 MED-5322 100 3 STANDARD
PLAIN-1 Q0 MED-5323 100 3 STANDARD
