Query,Time
l*ng,0.8228195930000001
in*e,0.732097122
ret*val,0.6914350059999999
mac*,0.7294639120000004
*nswering,0.7303109109999997
*ses,0.6126692930000006
tree*,0.6964431620000004
sp*h,0.6743409139999992
m*g,0.6221617659999996
v*n,0.8436784710000005
rein*,0.6901741189999999
lan*ge,0.8092794779999997
auto*,0.8437807740000007
on*y,0.8426829309999988
senti*,0.8064305250000015
s*p,0.696204238
l*m,0.6449941680000002
nat*l,0.6436464859999997
we*,0.6269895479999992
mo*c,0.653638741
com*er,0.6319294069999994
cl*g,0.6338643890000029
s*ic,0.7138675459999995
re*s,0.6654633749999981
*ata,0.6227554120000001
f*sion,0.6671316430000012
o*ject,0.6342716560000028
g*dm,0.6693773239999992
n*ural,0.6330607760000007
e*treme,0.690796031999998
