Query,Time
l*ng,0.075043002
in*e,0.09645921600000001
ret*val,0.0037211590000000017
mac*,0.8434273480000001
*nswering,0.5632397350000002
*ses,0.597304694
tree*,0.8688084310000002
sp*h,0.016582435999999756
m*g,0.07371032899999985
v*n,0.06722674899999959
rein*,0.8658513080000008
lan*ge,0.004064508999999994
auto*,0.9667116999999994
on*y,0.047340473000000216
senti*,0.9371008640000005
s*p,0.06304003800000046
l*m,0.0367404269999998
nat*l,0.0392452969999999
we*,0.9691681149999996
mo*c,0.023181322000000115
com*er,0.021528790999999714
cl*g,0.03608246699999995
s*ic,0.057559685000000194
re*s,0.11368526900000031
*ata,0.623448107999999
f*sion,0.023530097000000083
o*ject,0.0169889560000005
g*dm,0.017481895000001302
n*ural,0.01804549599999916
e*treme,0.02610997700000084
