Query,Time
l*ng,0.064162499
in*e,0.11597207900000005
ret*val,0.002795342000000006
mac*,1.055023191
*nswering,0.760406763
*ses,0.7478278480000013
tree*,1.056926826999999
sp*h,0.016326026999999854
m*g,0.0889889669999997
v*n,0.05892249000000005
rein*,1.0191339529999999
lan*ge,0.006279662999999047
auto*,1.0507054700000014
on*y,0.04850166500000075
senti*,1.0361882409999996
s*p,0.0736885539999994
l*m,0.03610681400000004
nat*l,0.0336630419999997
we*,1.0503212240000028
mo*c,0.027378000999998875
com*er,0.023714904000003756
cl*g,0.050933260000002534
s*ic,0.0945288999999967
re*s,0.14149774199999676
*ata,0.780825157000006
f*sion,0.02802832399999744
o*ject,0.0195837790000013
g*dm,0.016728203999996083
n*ural,0.028740568000001687
e*treme,0.028389019999998766
